cod_prov,desc_prov,cod_mun,desc_mun,cod_circ,cod_dm,desc_dm,cod_nivel,letra,desc_nivel,cod_col,tot_inscritos,emitidos,miembros,validos,nulos,obs,PLD,PRM,PRSC,PRD,BIS,MODA,PUN,ALPAIS,F.AMPLIO,PHD,PQDC,PCR,DXC,PLR,UDC,PRSD,FNP,FP,PPC,PAL,APD,PDI,PDP,PRI,PNVC,PP,No_Bol_Jme,Anulado
1,DISTRITO NACIONAL,1,DISTRITO NACIONAL,1,1,DISTRITO NACIONAL,1,P,PRESIDENTE(A),0001,241,146,0,145,1,0,48,68,2,3,0,0,0,1,0,0,1,0,1,0,0,3,0,15,0,2,0,0,0,0,0,1,7,
1,DISTRITO NACIONAL,1,DISTRITO NACIONAL,1,1,DISTRITO NACIONAL,1,P,PRESIDENTE(A),0001A,119,74,0,74,0,0,11,42,2,1,0,0,0,1,0,1,1,0,0,0,0,2,0,12,0,1,0,0,0,0,0,0,2,
1,DISTRITO NACIONAL,1,DISTRITO NACIONAL,1,1,DISTRITO NACIONAL,1,P,PRESIDENTE(A),0002,273,165,0,164,1,0,55,72,3,4,0,0,3,3,1,1,1,0,1,0,0,0,0,15,0,0,4,0,0,0,1,0,1,
1,DISTRITO NACIONAL,1,DISTRITO NACIONAL,1,1,DISTRITO NACIONAL,1,P,PRESIDENTE(A),0003,175,116,0,115,1,0,40,52,4,3,0,0,2,1,0,0,2,0,0,0,0,0,0,9,0,1,1,0,0,0,0,0,10,
1,DISTRITO NACIONAL,1,DISTRITO NACIONAL,1,1,DISTRITO NACIONAL,1,P,PRESIDENTE(A),0003A,181,105,0,105,0,0,29,42,2,0,2,0,0,5,0,0,1,2,1,0,0,3,0,14,0,0,3,0,0,0,0,1,3,
1,DISTRITO NACIONAL,1,DISTRITO NACIONAL,1,1,DISTRITO NACIONAL,1,P,PRESIDENTE(A),0004,167,95,0,95,0,0,19,54,3,2,0,1,1,2,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,1,1,
1,DISTRITO NACIONAL,1,DISTRITO NACIONAL,1,1,DISTRITO NACIONAL,1,P,PRESIDENTE(A),0005,317,168,9,164,4,0,34,95,2,2,0,1,3,2,1,1,0,1,1,0,0,2,1,17,0,0,0,0,0,0,0,1,10,
1,DISTRITO NACIONAL,1,DISTRITO NACIONAL,1,1,DISTRITO NACIONAL,1,P,PRESIDENTE(A),0005A,290,148,0,144,3,1,37,79,0,5,0,0,1,4,1,2,0,1,0,0,0,1,0,10,0,1,0,0,0,0,1,1,4,
1,DISTRITO NACIONAL,1,DISTRITO NACIONAL,1,1,DISTRITO NACIONAL,1,P,PRESIDENTE(A),0006,313,161,0,160,1,0,48,84,3,1,0,0,1,2,0,0,1,1,0,0,0,2,0,17,0,0,0,0,0,0,0,0,8,
1,DISTRITO NACIONAL,1,DISTRITO NACIONAL,1,1,DISTRITO NACIONAL,1,P,PRESIDENTE(A),0006A,309,153,0,153,0,0,36,87,5,3,0,0,0,4,1,0,0,0,2,0,0,2,0,13,0,0,0,0,0,0,0,0,10,
1,DISTRITO NACIONAL,1,DISTRITO NACIONAL,1,1,DISTRITO NACIONAL,1,P,PRESIDENTE(A),0007,157,101,0,101,0,0,26,53,3,2,2,0,0,1,0,0,0,0,2,0,1,1,0,10,0,0,0,0,0,0,0,0,3,
1,DISTRITO NACIONAL,1,DISTRITO NACIONAL,1,1,DISTRITO NACIONAL,1,P,PRESIDENTE(A),0008,171,106,0,103,3,0,23,59,3,4,0,0,7,0,1,0,0,3,0,0,0,0,0,0,0,0,2,0,1,0,0,0,4,
1,DISTRITO NACIONAL,1,DISTRITO NACIONAL,1,1,DISTRITO NACIONAL,1,P,PRESIDENTE(A),0008A,121,76,0,76,0,0,20,34,2,1,0,0,2,0,1,0,0,0,0,0,0,0,0,14,1,0,0,0,0,0,0,1,2,
1,DISTRITO NACIONAL,1,DISTRITO NACIONAL,1,1,DISTRITO NACIONAL,1,P,PRESIDENTE(A),0009,121,69,7,69,0,0,19,34,2,2,0,0,0,3,0,0,1,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,1,
1,DISTRITO NACIONAL,1,DISTRITO NACIONAL,1,1,DISTRITO NACIONAL,1,P,PRESIDENTE(A),0010,154,95,0,94,1,0,17,39,6,0,0,0,0,4,0,0,0,0,0,0,0,0,0,19,0,2,2,0,4,0,1,0,1,
1,DISTRITO NACIONAL,1,DISTRITO NACIONAL,1,1,DISTRITO NACIONAL,1,P,PRESIDENTE(A),0011,133,82,0,82,0,0,14,44,0,2,0,0,0,4,0,1,0,0,0,0,0,0,1,16,0,0,0,0,0,0,0,0,3,
1,DISTRITO NACIONAL,1,DISTRITO NACIONAL,1,1,DISTRITO NACIONAL,1,P,PRESIDENTE(A),0011A,127,73,0,72,1,0,15,38,6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,3,
